Male,Age,Debt,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Income,Approved
1.0,13.75,4.0,1.75,1,1,2,1,1000,1
0.0,46.0,4.0,0.0,1,0,0,0,960,1
0.0,44.33,0.0,2.5,1,0,0,0,0,1
1.0,20.25,9.96,0.0,1,0,0,0,0,1
1.0,22.67,2.54,2.585,1,0,0,0,0,1
0.0,60.92,5.0,4.0,1,1,4,0,99,1
1.0,16.08,0.75,1.75,1,1,5,1,690,1
0.0,28.17,0.375,0.585,1,1,4,0,0,1
1.0,39.17,1.71,0.125,1,1,5,1,0,1
0.0,30.0,5.29,2.25,1,1,5,1,500,1
1.0,22.83,3.0,1.29,1,1,1,0,800,1
0.0,22.5,8.5,1.75,1,1,10,0,990,0
0.0,28.58,1.665,2.415,1,0,0,1,0,0
1.0,45.17,1.5,2.5,1,0,0,1,0,0
1.0,41.58,1.75,0.21,1,0,0,0,0,0
0.0,57.08,0.335,1.0,1,0,0,1,2197,0
0.0,55.75,7.08,6.75,1,1,3,1,50,0
1.0,43.25,25.21,0.21,1,1,1,0,90,0
0.0,25.33,2.085,2.75,1,0,0,1,1,0
0.0,24.58,0.67,1.75,1,0,0,0,0,0
1.0,43.17,2.25,0.75,1,0,0,0,0,0
1.0,40.92,0.835,0.0,1,0,0,0,1,0
1.0,31.83,2.5,7.5,1,0,0,1,0,0
0.0,33.92,1.585,0.0,1,0,0,0,0,0
0.0,24.92,1.25,0.0,1,0,0,0,0,0
1.0,35.25,3.165,3.75,1,0,0,1,0,0
1.0,34.25,1.75,0.25,1,0,0,1,0,0
1.0,80.25,5.5,0.54,1,0,0,0,340,0
1.0,19.42,1.5,2.0,1,0,0,1,20,0
1.0,42.75,3.0,1.0,1,0,0,0,200,0
1.0,19.67,10.0,0.835,1,0,0,1,0,0
1.0,36.33,3.79,1.165,1,0,0,1,0,0
1.0,30.08,1.04,0.5,1,1,10,1,28,0
1.0,44.25,11.0,1.5,1,0,0,0,0,0
1.0,23.58,0.46,2.625,1,1,6,1,347,0
1.0,23.92,1.5,1.875,1,1,6,0,327,1
1.0,33.17,1.0,0.75,1,1,7,1,4071,1
1.0,48.33,12.0,16.0,1,0,0,0,0,1
1.0,76.75,22.29,12.75,1,1,1,1,109,1
1.0,51.33,10.0,0.0,1,1,11,0,1249,1
1.0,34.75,15.0,5.375,1,1,9,1,134,1
1.0,38.58,3.335,4.0,1,1,14,0,1344,1
0.0,22.42,11.25,0.75,1,1,4,0,321,1
1.0,41.92,0.42,0.21,1,1,6,0,948,1
1.0,29.58,4.5,7.5,1,1,2,1,0,1
0.0,32.17,1.46,1.085,1,1,16,0,2079,1
1.0,51.42,0.04,0.04,1,0,0,0,3000,1
0.0,22.83,2.29,2.29,1,1,7,1,2384,1
0.0,25.0,12.33,3.5,1,1,6,0,458,1
1.0,26.75,1.125,1.25,1,0,0,0,5298,1
1.0,23.33,1.5,1.415,1,0,0,0,200,1
1.0,24.42,12.335,1.585,1,0,0,1,0,1
1.0,42.17,5.04,12.75,1,0,0,1,0,1
0.0,20.83,3.0,0.04,1,0,0,0,0,1
1.0,23.08,11.5,2.125,1,1,11,1,284,1
0.0,25.17,2.875,0.875,1,0,0,0,0,1
1.0,43.08,0.375,0.375,1,1,8,1,162,1
0.0,35.75,0.915,0.75,1,1,4,0,1583,1
1.0,59.5,2.75,1.75,1,1,5,1,58,1
1.0,21.0,3.0,1.085,1,1,8,1,1,1
1.0,21.92,0.54,0.04,1,1,1,1,59,1
0.0,65.17,14.0,0.0,1,1,11,1,1400,1
0.0,20.33,10.0,1.0,1,1,4,0,1465,1
1.0,32.25,0.165,3.25,1,1,1,1,8000,1
1.0,30.17,0.5,1.75,1,1,11,0,540,1
1.0,25.17,6.0,1.0,1,1,3,0,0,1
1.0,39.17,1.625,1.5,1,1,10,0,4700,1
1.0,39.08,6.0,1.29,1,1,5,1,1097,1
1.0,31.67,0.83,1.335,1,1,8,1,3290,1
1.0,41.0,0.04,0.04,0,1,1,0,0,1
1.0,48.5,4.25,0.125,1,0,0,1,0,1
1.0,32.67,9.0,5.25,1,0,0,1,0,1
0.0,28.08,15.0,0.0,1,0,0,0,13212,1
1.0,73.42,17.75,0.0,1,0,0,1,0,1
1.0,64.08,20.0,17.5,1,1,9,1,1000,1
1.0,51.58,15.0,8.5,1,1,9,0,0,1
1.0,26.67,1.75,1.0,1,1,5,1,5777,1
1.0,25.33,0.58,0.29,1,1,7,1,5124,1
1.0,30.17,6.5,3.125,1,1,8,0,1200,1
1.0,27.0,0.75,4.25,1,1,3,1,150,1
1.0,23.17,0.0,0.0,0,0,0,0,0,1
1.0,34.17,5.25,0.085,0,0,0,1,6,1
1.0,38.67,0.21,0.085,1,0,0,1,0,1
1.0,25.75,0.75,0.25,1,0,0,0,23,1
0.0,46.08,3.0,2.375,1,1,8,1,4159,1
0.0,21.5,6.0,2.5,1,1,3,0,918,1
1.0,20.5,2.415,2.0,1,1,11,1,3000,1
0.0,29.5,0.46,0.54,1,1,4,0,500,1
1.0,29.83,1.25,0.25,0,0,0,0,0,0
1.0,20.08,0.25,0.125,0,0,0,0,0,0
1.0,23.42,0.585,0.085,1,0,0,0,0,0
0.0,29.58,1.75,1.25,0,0,0,1,0,0
1.0,16.17,0.04,0.04,0,0,0,0,0,1
1.0,32.33,3.5,0.5,0,0,0,1,0,0
1.0,47.83,4.165,0.085,0,0,0,1,0,0
1.0,20.0,1.25,0.125,0,0,0,0,4,0
1.0,27.58,3.25,5.085,0,1,2,1,1,0
1.0,22.0,0.79,0.29,0,1,1,0,283,0
1.0,19.33,10.915,0.585,0,1,2,1,7,0
0.0,38.33,4.415,0.125,0,0,0,0,0,0
1.0,29.42,1.25,0.25,0,1,2,1,108,0
1.0,22.67,0.75,1.585,0,1,1,1,9,0
1.0,32.25,14.0,0.0,0,1,2,0,1,0
1.0,29.58,4.75,2.0,0,1,1,1,68,0
1.0,18.42,10.415,0.125,1,0,0,0,375,0
1.0,22.17,2.25,0.125,0,0,0,0,10,0
1.0,22.67,0.165,2.25,0,0,0,1,0,1
0.0,25.58,0.0,0.0,0,0,0,0,0,1
1.0,18.83,0.0,0.665,0,0,0,0,1,0
1.0,21.58,0.79,0.665,0,0,0,0,0,0
1.0,23.75,12.0,2.085,0,0,0,0,0,0
1.0,22.0,7.835,0.165,0,0,0,1,0,0
1.0,36.08,2.54,0.0,0,0,0,0,1000,0
1.0,29.25,13.0,0.5,0,0,0,0,0,0
0.0,19.58,0.665,1.665,0,0,0,0,5,0
0.0,22.92,1.25,0.25,0,0,0,1,809,0
0.0,27.25,0.29,0.125,0,1,1,1,108,0
0.0,38.75,1.5,0.0,0,0,0,0,0,0
1.0,32.42,2.165,0.0,0,0,0,0,0,0
0.0,23.75,0.71,0.25,0,1,1,1,4,0
1.0,18.17,2.46,0.96,0,1,2,1,587,0
1.0,40.92,0.5,0.5,0,0,0,1,0,0
1.0,19.5,9.585,0.79,0,0,0,0,350,0
1.0,28.58,3.625,0.25,0,0,0,1,0,0
1.0,35.58,0.75,1.5,0,0,0,1,0,0
1.0,34.17,2.75,2.5,0,0,0,1,200,0
1.0,31.58,0.75,3.5,0,0,0,1,0,0
0.0,52.5,7.0,3.0,0,0,0,0,0,0
1.0,36.17,0.42,0.29,0,0,0,1,2,0
1.0,37.33,2.665,0.165,0,0,0,1,501,0
0.0,20.83,8.5,0.165,0,0,0,0,351,0
1.0,24.08,9.0,0.25,0,0,0,1,0,0
1.0,25.58,0.335,3.5,0,0,0,1,0,0
0.0,35.17,3.75,0.0,0,1,6,0,200,0
1.0,48.08,3.75,1.0,0,0,0,0,2,0
0.0,15.83,7.625,0.125,0,1,1,1,160,0
0.0,22.5,0.415,0.335,0,0,0,1,0,0
1.0,21.5,11.5,0.5,1,0,0,1,68,0
0.0,23.58,0.83,0.415,0,1,1,1,11,0
0.0,21.08,5.0,0.0,0,0,0,0,0,0
1.0,25.67,3.25,2.29,0,1,1,1,21,0
0.0,38.92,1.665,0.25,0,0,0,0,390,0
0.0,15.75,0.375,1.0,0,0,0,0,18,0
0.0,28.58,3.75,0.25,0,1,1,1,154,0
1.0,22.25,9.0,0.085,0,0,0,0,0,0
1.0,29.83,3.5,0.165,0,0,0,0,0,0
0.0,23.5,1.5,0.875,0,0,0,1,0,0
1.0,32.08,4.0,1.5,0,0,0,1,0,0
1.0,31.08,1.5,0.04,0,0,0,0,0,0
1.0,31.83,0.04,0.04,0,0,0,0,0,0
0.0,21.75,11.75,0.25,0,0,0,1,0,0
0.0,17.92,0.54,1.75,0,1,1,1,5,0
1.0,30.33,0.5,0.085,0,0,0,1,0,0
1.0,51.83,2.04,1.5,0,0,0,0,1,0
1.0,47.17,5.835,5.5,0,0,0,0,150,0
1.0,25.83,12.835,0.5,0,0,0,0,2,0
0.0,50.25,0.835,0.5,0,0,0,1,117,0
0.0,37.33,2.5,0.21,0,0,0,0,246,0
0.0,41.58,1.04,0.665,0,0,0,0,237,0
0.0,30.58,10.665,0.085,0,1,12,1,3,0
1.0,19.42,7.25,0.04,0,1,1,0,1,0
0.0,17.92,10.21,0.0,0,0,0,0,50,0
0.0,20.08,1.25,0.0,0,0,0,0,0,0
1.0,19.5,0.29,0.29,0,0,0,0,364,0
1.0,27.83,1.0,3.0,0,0,0,0,537,0
1.0,17.08,3.29,0.335,0,0,0,1,2,0
1.0,36.42,0.75,0.585,0,0,0,0,3,0
1.0,40.58,3.29,3.5,0,0,0,1,0,0
1.0,21.08,10.085,1.25,0,0,0,0,0,0
0.0,22.67,0.75,2.0,0,1,2,1,394,0
0.0,25.25,13.5,2.0,0,1,1,1,1,0
1.0,17.92,0.205,0.04,0,0,0,0,750,0
1.0,35.0,3.375,8.29,0,0,0,1,0,0
